0 0.671219 0 0 0 0 0 0 0 0.0 0.0 0
0 0.0929956 1 1 1 1 2 2 2 0.0 0.0 0
0 0.203911 5 5 2 2 7 7 7 0.0 0.0 0
1 0.111606 3 3 1 1 4 4 4 0.0 0.0 0
1 0.350037 0 0 0 0 0 0 0 0.0 0.0 0
1 0.878982 0 0 0 0 0 0 0 0.0 0.0 0
0 0.147032 0 0 0 0 0 0 -2 0.0 0.0 0
1 0.111515 5 5 0 0 5 5 7 0.0 0.0 0
1 0.230151 0 0 0 0 0 0 4 0.0 0.0 0
1 0.212313 6 6 2 2 8 8 8 0.0 0.0 0
1 0.242655 0 0 0 0 0 0 2 0.0 0.0 0
1 0.427904 5 0 0 5 0 10 7 0.0 0.0 0
0 0.380728 0 0 0 0 0 0 0 0.0 0.0 0
1 0.0855003 3 0 0 0 0 3 7 0.0 0.0 0
1 0.240184 0 0 0 0 0 0 -4 0.0 0.0 0
1 0.355143 0 0 0 0 0 0 -7 0.0 0.0 0
1 0.16872 0 0 0 0 0 0 9 0.0 0.0 0
1 0.195096 1 0 0 2 0 3 12 0.0 0.0 0
1 0.199339 1 1 1 1 2 2 4 0.0 0.0 0
1 0.637229 0 0 0 0 0 0 -11 0.0 0.0 0
1 0.188754 0 0 0 0 0 0 0 0.0 0.0 0
0 0.701695 0 0 0 0 0 0 0 0.0 0.0 0
1 0.142527 3 2 2 4 4 7 16 0.0 0.0 0
0 0.0970499 9 8 1 1 9 10 36 0.0 0.0 0
1 0.220883 2 2 2 2 4 4 1 0.0 0.0 0
1 0.0822794 2 1 1 3 2 5 11 0.0 0.0 0
0 0.41372 0 0 0 0 0 0 -1 0.0 0.0 0
0 0.319907 3 1 2 5 3 8 11 0.0 0.0 0
0 0.210546 0 0 0 0 0 0 2 2.7777777777777777 2.5 0.6118572428971428
1 0.073714 13 12 1 1 13 14 42 0.0 0.0 0
0 0.309887 3 3 0 0 3 3 3 0.0 0.0 0
1 0.233963 1 0 0 1 0 2 4 0.0 0.0 0
1 0.220883 3 3 3 3 6 6 3 0.0 0.0 0
1 0.374041 2 0 0 0 0 2 -5 0.0 0.0 0
1 0.494506 0 0 0 0 0 0 -11 0.0 0.0 0
1 0.697188 0 0 0 0 0 -9 -18 0.0 0.0 0
1 0.268761 1 1 0 0 1 1 1 0.0 0.0 0
0 0.797095 0 0 0 0 0 0 0 0.0 0.0 0
0 0.20086 5 1 1 20 2 25 41 0.0 0.0 0
0 0.195877 2 0 0 0 0 2 1 0.0 0.0 0
1 0.134466 0 0 0 0 0 0 10 0.0 0.0 0
0 0.0950007 0 0 0 0 0 0 8 0.0 0.0 0
